,50,3
Alternative Sand,22,1
Building with Co2,22,1
Graphene,22,1
Smart Roads,22,1
Amoetecture,22,1
Nanotruses,22,1
Smart Brick,44,1
Carbon Nanotubes,22,1
Augemented Reality,22,1
Virtual Reality,44,1
3D Coolbrick,50,1
Shockcrete,22,1
Gesture Control Devices,22,1
Smart Workplaces,40,1
CIVAL: Polis,22,1
Robotic Construction,22,1
PTMD,22,1
Urban Food Production Modules,44,1
Transparent Aluminum,22,1
Smart Robotics,22,1
Changing Places,22,1
Connected Home,22,1
Crowdfunding/ Crowdsourcing,22,1
Robotic Demolition,22,1
Consumer 3D Printing,44,1
Aerogel Insulation,22,1
Ytong Bricks,22,1
Permeable Concrete,22,1
Building Information Modeling,22,1
Robotic Building,22,2
Aeromorph,22,2
Contour Crafting,22,2
One-Bit Bot,22,2
Chainform,22,2
Materiable Tech,22,2
4D Printing,22,2
Robotic Swarm Construction,22,2
Heat Bus System,22,2
Flexible Structures,22,2
Volumetric Displays,22,2
Digital Construction Platform,22,2
Advanced Fiber Composite Materials,22,2
Augmented Reality,44,2
Cross-Functional Metamaterial ,22,2
Virtual Reality,44,2
3 for 2,22,2
Smart Robotics,22,2
Digital Fabrication,44,2
Building Scale 3D Printing,22,2
Commercial Drones,22,2
Robotic Tiling System,44,2
Robotic Fabrication,22,2
Internet of Things,44,2
Kinetic Architecture,22,2
Intelligent Buildings,22,2
Modular Building Processes,22,2
Horizontal Integration of IoT,33,2
Driverless Bulldozer,33,2
Wearable Technology,33,2
Exsoskelatons,33,2
In-Situ Fabricator - Robotics,33,2
Self Healing Concrete,33,2
Kinetic Paving,33,2
Smog Eating Buildings,33,2
4D VR,33,2
3D Printed Machinery,33,2
Cilllia,33,2
Digital Twin,44,2
Mycelium-Based Construction Materials,33,2
Photovoltaic Glass,33,2
Reclaimed Wood ,33,2
Bioplastic from Algae ,33,2
Biomimetic Insulation,33,2
Drone builders ,44,2
Chatbots,44,2
Dark Analytics,33,2
